FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2021-02-10 06:49:14,48.920517,28.685484,28788,550,24380,3858,271,3,0,268
4908,,Volynska,Ukraine,2021-02-10 06:49:14,51.190885,24.870603,37670,600,35091,1979,111,2,0,109
4913,,Dnipropetrovska,Ukraine,2021-02-10 06:49:14,48.301142,34.844169,69376,1883,63432,4061,120,10,0,110
4912,,Donetska,Ukraine,2021-02-10 06:49:14,48.047635,37.674086,45125,1000,41543,2582,98,5,0,93
4914,,Zhytomyrskа,Ukraine,2021-02-10 06:49:14,50.639546,28.475602,45670,773,42280,2617,61,4,0,57
4915,,Zakarpatska,Ukraine,2021-02-10 06:49:14,48.403718,23.275854,33636,776,28565,4295,238,6,0,232
4891,,Zaporizka,Ukraine,2021-02-10 06:49:14,47.26706,35.700061,67490,929,61452,5109,214,21,0,193
4892,,Ivano-Frankivska,Ukraine,2021-02-10 06:49:14,48.701932,24.619344,52551,1014,44204,7333,410,9,0,401
4910,,Kyivska,Ukraine,2021-02-10 06:49:14,50.299214,30.455333,70878,1169,61026,8683,150,6,0,144
4893,,Kirovohradska,Ukraine,2021-02-10 06:49:14,48.472378,32.081666,10027,342,7405,2280,43,0,0,43
4894,,Luhanska,Ukraine,2021-02-10 06:49:14,48.985624,39.018116,14339,426,12455,1458,36,13,0,23
4895,,Lvivska,Ukraine,2021-02-10 06:49:14,49.717422,23.916561,73163,2151,64462,6550,117,6,0,111
4896,,Mykolaivska,Ukraine,2021-02-10 06:49:14,47.438413,31.778998,39848,725,30047,9076,37,5,0,32
4909,Kyiv,Kyivska,Ukraine,2021-02-10 06:49:14,50.448668,30.547911,130864,2473,81389,47002,297,15,0,282
4911,,Odeska,Ukraine,2021-02-10 06:49:14,46.518829,30.602712,82744,1360,74730,6654,115,12,0,103
4897,,Poltavska,Ukraine,2021-02-10 06:49:14,49.732656,33.778584,44204,930,40764,2510,132,6,0,126
4898,,Rivnenska,Ukraine,2021-02-10 06:49:14,51.039594,26.391115,46837,590,44260,1987,103,0,0,103
4899,,Sumska,Ukraine,2021-02-10 06:49:14,51.10612,34.12381,46586,635,43934,2017,48,3,0,45
4900,,Ternopilska,Ukraine,2021-02-10 06:49:14,49.402088,25.64818,38940,555,36442,1943,105,1,0,104
4901,,Kharkivska,Ukraine,2021-02-10 06:49:14,49.615098,36.504888,79591,1455,72735,5401,188,15,0,173
4902,,Khersonska,Ukraine,2021-02-10 06:49:14,46.673984,33.53598,21129,602,19055,1472,50,3,0,47
4903,,Khmelnytska,Ukraine,2021-02-10 06:49:14,49.507456,26.929458,45044,816,41733,2495,136,2,0,134
4904,,Cherkaska,Ukraine,2021-02-10 06:49:14,49.260159,31.352536,46753,584,42697,3472,108,4,0,104
4905,,Chernivetska,Ukraine,2021-02-10 06:49:14,48.268275,25.976996,47383,911,41536,4936,191,9,0,182
4906,,Chernihivska,Ukraine,2021-02-10 06:49:14,51.355018,32.004509,34419,685,28991,4743,30,3,0,27
