FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Confirmed_delta,Deaths_delta,Recovered_delta,Active_delta
4907,,Vinnytsia,Ukraine,2020-12-28 00:00:19,48.920517,28.685484,21960,378,14338,7244,102,3,177,-78
4908,,Volynska,Ukraine,2020-12-28 00:00:19,51.190885,24.870603,32429,501,26895,5033,129,2,245,-118
4913,,Dnipropetrovska,Ukraine,2020-12-28 00:00:19,48.301142,34.844169,56893,1330,43210,12353,537,1,302,234
4912,,Donetska,Ukraine,2020-12-28 00:00:19,48.047635,37.674086,34929,678,25201,9050,343,0,37,306
4914,,Zhytomyrskа,Ukraine,2020-12-28 00:00:19,50.639546,28.475602,38494,635,30465,7394,275,3,53,219
4915,,Zakarpatska,Ukraine,2020-12-28 00:00:19,48.403718,23.275854,27828,627,22405,4796,74,2,73,-1
4891,,Zaporizka,Ukraine,2020-12-28 00:00:19,47.26706,35.700061,51703,530,17941,33232,453,0,240,213
4892,,Ivano-Frankivska,Ukraine,2020-12-28 00:00:19,48.701932,24.619344,42828,795,26014,16019,103,2,689,-588
4910,,Kyivska,Ukraine,2020-12-28 00:00:19,50.299214,30.455333,57331,933,31586,24812,389,2,462,-75
4893,,Kirovohradska,Ukraine,2020-12-28 00:00:19,48.472378,32.081666,8225,242,3866,4117,20,3,47,-30
4894,,Luhanska,Ukraine,2020-12-28 00:00:19,48.985624,39.018116,9982,269,6818,2895,76,2,47,27
4895,,Lvivska,Ukraine,2020-12-28 00:00:19,49.717422,23.916561,59798,1720,44278,13800,247,11,424,-188
4896,,Mykolaivska,Ukraine,2020-12-28 00:00:19,47.438413,31.778998,29531,489,13533,15509,414,4,0,410
4909,Kyiv,Kyivska,Ukraine,2020-12-28 00:00:19,50.448668,30.547911,107204,1844,37273,68087,718,15,143,560
4911,,Odeska,Ukraine,2020-12-28 00:00:19,46.518829,30.602712,68962,996,36990,30976,515,0,2087,-1572
4897,,Poltavska,Ukraine,2020-12-28 00:00:19,49.732656,33.778584,34600,713,25869,8018,259,2,25,232
4898,,Rivnenska,Ukraine,2020-12-28 00:00:19,51.039594,26.391115,40295,496,35276,4523,100,2,76,22
4899,,Sumska,Ukraine,2020-12-28 00:00:19,51.10612,34.12381,40047,513,32546,6988,199,0,222,-23
4900,,Ternopilska,Ukraine,2020-12-28 00:00:19,49.402088,25.64818,33452,450,29361,3641,124,0,98,26
4901,,Kharkivska,Ukraine,2020-12-28 00:00:19,49.615098,36.504888,67868,1051,54029,12788,213,4,417,-208
4902,,Khersonska,Ukraine,2020-12-28 00:00:19,46.673984,33.53598,17067,408,7523,9136,150,3,186,-39
4903,,Khmelnytska,Ukraine,2020-12-28 00:00:19,49.507456,26.929458,38378,646,31438,6294,45,3,89,-47
4904,,Cherkaska,Ukraine,2020-12-28 00:00:19,49.260159,31.352536,37617,358,20097,17162,296,4,316,-24
4905,,Chernivetska,Ukraine,2020-12-28 00:00:19,48.268275,25.976996,39422,764,27193,11465,129,3,133,-7
4906,,Chernihivska,Ukraine,2020-12-28 00:00:19,51.355018,32.004509,29146,408,14393,14345,203,1,33,169
